,Label 0,Label 1
Entire set,50.00%,50.00%
training set - fold 0,50.00%,50.00%
testing set - fold 0,50.00%,50.00%
training set - fold 1,50.00%,50.00%
testing set - fold 1,50.00%,50.00%
training set - fold 2,50.02%,49.98%
testing set - fold 2,49.78%,50.22%
training set - fold 3,50.00%,50.00%
testing set - fold 3,50.00%,50.00%
training set - fold 4,50.00%,50.00%
testing set - fold 4,50.00%,50.00%
training set - fold 5,50.00%,50.00%
testing set - fold 5,50.00%,50.00%
training set - fold 6,50.00%,50.00%
testing set - fold 6,50.00%,50.00%
training set - fold 7,50.00%,50.00%
testing set - fold 7,50.00%,50.00%
training set - fold 8,49.98%,50.02%
testing set - fold 8,50.22%,49.78%
training set - fold 9,50.00%,50.00%
testing set - fold 9,50.00%,50.00%
